id,page_name,url,file_name,edit_type,author,description,keyword,create_date,update_date,meta_robots,master_page_id,discriminator_type
0,Xem trước,preview,,1,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
1,Trang chủ,homepage,index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
2,Danh sách sản phẩm,product_list,Product/list,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
3,Chi tiết sản phẩm,product_detail,Product/detail,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
4,Tài khoản của tôi,mypage,Mypage/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
5,Tài khoản của tôi / Chỉnh sửa thông tin,mypage_change,Mypage/change,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
6,Tài khoản của tôi / Chỉnh sửa thông tin (hoàn thành),mypage_change_complete,Mypage/change_complete,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
9,Tài khoản của tôi / Sản phẩm ưa thích,mypage_favorite,Mypage/favorite,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
10,Tài khoản của tôi / Lịch sử mua hàng,mypage_history,Mypage/history,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
11,Tài khoản của tôi / Đăng nhập,mypage_login,Mypage/login,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
12,Tài khoản của tôi / Hủy tài khoản,mypage_withdraw,Mypage/withdraw,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
14,Về chúng tôi,help_about,Help/about,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
13,Tài khoản của tôi / Hủy tài khoản (hoàn thành),mypage_withdraw_complete,Mypage/withdraw_complete,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
15,Giỏ hàng,cart,Cart/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
16,Liên hệ,contact,Contact/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
17,Liên hệ (hoàn thành),contact_complete,Contact/complete,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
18,Đăng ký,entry,Entry/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
20,Đăng ký tạm thời hoàn thành,entry_complete,Entry/complete,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
21,Chính sách giao hàng và trả hàng,help_tradelaw,Help/tradelaw,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
22,Đăng ký thành viên (kích hoạt),entry_activate,Entry/activate,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
24,Mua hàng / Địa chỉ giao hàng,shopping_shipping,Shopping/shipping,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
28,Mua hàng / Hoàn thành,shopping_complete,Shopping/complete,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
29,Chính sách bảo mật,help_privacy,Help/privacy,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
30,Đăng nhập,shopping_login,Shopping/login,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
31,Mua hàng không cần tài khoản,shopping_nonmember,Shopping/nonmember,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
32,Mua hàng / Thêm-sửa địa chỉ giao hàng,shopping_shipping_edit,Shopping/shipping_edit,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,noindex,,page
33,Mua hàng / Giao hàng nhiều địa chỉ (Thêm địa chỉ giao hàng),shopping_shipping_multiple_edit,Shopping/shipping_multiple_edit,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,noindex,,page
34,Mua hàng / Lỗi,shopping_error,Shopping/shopping_error,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,noindex,,page
35,Hướng dẫn mua hàng,help_guide,Help/guide,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,,,page
36,Cài đặt lại mật khẩu,forgot,Forgot/index,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,,,page
37,Cài đặt lại mật khẩu (cảm ơn),forgot_complete,Forgot/complete,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:02,noindex,,page
38,Cài đặt lại mật khẩu (Nhập mật khẩu mới),forgot_reset,Forgot/reset,2,,,,2017-03-07 01:15:02,2017-03-07 01:15:05,noindex,,page
19,Điều khoản và điều kiện,help_agreement,Help/agreement,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,,,page
25,Mua hàng / Chọn nhiều địa chỉ giao hàng,shopping_shipping_multiple,Shopping/shipping_multiple,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
23,Mua hàng,shopping,Shopping/index,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
7,Tài khoản của tôi / Tất cả các địa chỉ giao hàng,mypage_delivery,Mypage/delivery,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
8,Tài khoản của tôi / Thêm địa chỉ giao hàng,mypage_delivery_new,Mypage/delivery_edit,2,,,,2017-03-07 10:14:52,2017-03-07 10:14:52,noindex,,page
42,Mua hàng / Thay đổi địa chỉ giao hàng,shopping_shipping_edit_change,Shopping/index,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
44,Tài khoản của tôi / Chỉnh sửa địa chỉ giao hàng,mypage_delivery_edit,Mypage/delivery_edit,2,,,,2017-03-07 01:15:05,2017-03-07 01:15:05,noindex,8,page
45,Mua sắm / Xác nhận,shopping_confirm,Shopping/confirm,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
46,Tìm kiếm mã bưu điện,help_postalcode,Help/postalcode,2,,,,2017-03-07 01:15:03,2017-03-07 01:15:03,noindex,,page
